GTR1 ID,Index,Ticker Symbol,Company Name,CUSIP,field1=styp.a,field2=dspo:1,field16=ord:1,field10=perendq1.s,[Q1End],"field17=linear:1,field16,-1,field12",field39=sic.a,"field40=if:field39et6510!6512!6531!6798,1,0",[RealEstOps],field42=trbc2.s,"field43=ifet:field42,55,1,0",field46=fincd12.a,[Finance],[Financial],field3=shrinst.s,field4=float.s,field5=epsq1.s,field6=epsq5.s,field7=salesq1.s,field8=salesq5.s,"field9=trp:1,126","field13=agv:1,10",field18=gtoa.a,"field19=ratio:field13,field18","field20=linear:1,field5,-1,field6","field21=linear:1,field7,-1,field8",field24=csoq1d.s,field25=sprc,"field26=product:field24,field25",[MktCap],field31=fcfps12mq1d.s,"field32=ratio:field25,field31",[PFCF],"field14=agv:1,63",[VR],"field36=ratio:field14,field18","field37=ratio:field9,field36",[SORT],,,,,,
43927,9378,SCPL,SCIPLAY CORP CL A,'809087109,11,531,25247,25197,25197,50,7370,0,0,57,0,6,0,0,88.6,23.65,0.228,0.194,151.1,118.3,25.52595,2993716,14.65638,204260.2,0.03399999,32.8,127.9286,17.9,2289.921,2289.921,7.36,2.432065,2.432065,6010867,0.4980506,410119.4,6.224029E-05,3.099882E-05,,,,,,
21112,5736,MTH,MERITAGE HOMES CORP,'59001A102,11,8288,25247,25197,25197,50,1531,0,0,53,0,12,0,0,99,36.834,3.502,1.868,1088.5,904.9,14.27909,921310.7,2.760798,333711.8,1.634,183.6,37.84719,98.6,3731.733,3731.733,11.82,8.341794,8.341794,1098967,0.8383424,398061.4,3.587158E-05,3.007266E-05,,,,,,
32175,4205,SAH,SONIC AUTOMOTIVE INC,'83545G102,11,5932,25247,25197,25197,50,5511,0,0,53,0,9,0,0,81,21.931,1.305,-4.678,2786.8,2308.1,8.302032,758812.7,3.86144,196510.3,5.983,478.7,41.59544,46.69,1942.091,1942.091,4.32,10.80787,10.80787,900726.8,0.842445,233261.9,3.559104E-05,2.998349E-05,,,,,,
7378,4649,CACI,CACI INTERNATIONAL INC CL A,'127190304,11,10641,25247,25197,25197,50,7373,0,0,57,0,6,0,0,93.1,23.074,4.826,3.213,1551.9,1465.6,9.209717,20543.06,0.1328991,154576.4,1.613,86.30005,23.55057,266.57,6277.876,6277.876,23.29,11.44568,11.44568,29055.74,0.7070224,218630.1,4.212465E-05,2.978307E-05,,,,,,
29503,5882,WSM,WILLIAMS SONOMA INC,'969904101,11,9562,25247,25155,25155,92,5719,0,0,53,0,9,0,0,95.9,74.431,4.038,2.146,2292.7,1843.6,58.09294,572595.9,0.5100011,1122735,1.892,449.1,75.28226,169.75,12779.16,12779.16,11.94,14.21692,14.21692,756540.9,0.7568606,1483410,3.916175E-05,2.963998E-05,,,,,,
42513,1205,CARS,CARS COM INC,'14575E105,11,1014,25247,25197,25197,50,5511,0,0,57,0,9,0,0,93.5,63.895,0.078,-11.764,153.3,148.1,19.76252,6784928,23.0481,294381.2,11.842,5.199997,68.64291,14.12,969.2377,969.2377,2.1,6.723809,6.723809,1.024151E+07,0.662493,444353.7,4.447474E-05,2.94642E-05,,,,,,
15221,2422,WGO,WINNEBAGO INDUSTRIES INC,'974637100,11,12803,25247,25174,25174,73,3716,0,0,53,0,2,0,0,94.2,32.332,2.06,0.514,839.9,626.8,21.63384,690775.6,1.276998,540937.2,1.546,213.1,33.60068,67.29,2260.99,2260.99,5.14,13.09144,13.09144,808075.9,0.85484,632793.5,3.418783E-05,2.922513E-05,,,,,,
39536,4428,LRN,STRIDE INC,'86333M108,11,3396,25247,25197,25197,50,8211,0,0,63,0,12,0,0,90.3,39.937,0.591,0.221,392.1,257.2,38.42656,8504889,21.65273,392786,0.37,134.9,41.54146,30.44,1264.522,1264.522,2.11,14.42654,14.42654,1.572207E+07,0.5409521,726101.2,5.292176E-05,2.862814E-05,,,,,,
39836,982,PRIM,PRIMORIS SERVICES CORP,'74164F103,11,3236,25247,25197,25197,50,1623,0,0,52,0,12,0,0,94,50.88,0.118,-0.077,818.3,743.2,20.75088,2473160,5.691344,434547.7,0.195,75.09998,53.72555,32.52,1747.155,1747.155,4.93,6.596349,6.596349,3204521,0.7717722,563051.8,3.68543E-05,2.844313E-05,,,,,,
16468,5732,LPX,LOUISIANA PACIFIC CORP,'546347105,11,12219,25247,25197,25197,50,3089,0,0,51,0,3,0,0,99.5,97.057,3.028,0.295,1017,585,52.92138,2289136,1.025141,2232996,2.733,432,102.2528,58.60999,5993.038,5993.038,7.56,7.752645,7.752645,2130417,1.074502,2078169,2.546538E-05,2.73626E-05,,,,,,
